id,word,reading,level,type,subtype,primary_meanings,sentence_ja,sentence_en,kanji_frequency_difficulty,kanji_usage_difficulty,kanji_in_n5_list
706,レストラン,レストラン,N5,word,,restaurant (esp. Western-style),いいレストランをご存知でしょうか。,Do you know a good restaurant?,,,false
707,練習,れんしゅう,N5,word,,practice; training; drill,あなたはいつピアノの練習をしますか。,When do you practice the piano?,10,8,false
708,廊下,ろうか,N5,word,,corridor; hallway; passageway,「学園の廊下で、濃厚なキスシーン・・・聞いたぞ聞いたぞ」「濃厚じゃなーい！話に尾ひれ付いてるって・・・」,"""A passionate kiss scene in a school corridor ... I've heard all about it!"" ""It wasn't passionate! That's an exaggeration...""",7,7,false
709,六,ろく,N5,word,,six; 6,私は毎朝六時に起きます。,I get up at six every morning.,4,6,true
710,Ｙシャツ,ワイシャツ,N5,word,,(formal) shirt; dress shirt; business shirt,このワイシャツは首まわりが合わない。,This shirt doesn't fit me round the neck.,,,false
711,若い,わかい,N5,word,,young; youthful; immature,「彼女は若いですか」「はい」,"""Is she young?"" ""Yes, she is.""",7,6,false
712,分かる,わかる,N5,word,,to understand; to comprehend; to grasp,彼が有名な人物だというのがわかります。,I understand that he's something of a famous personality.,2,3,true
713,忘れる,わすれる,N5,word,,to forget; to leave carelessly; to be forgetful of,トムを忘れるな。,Don't forget Tom.,9,8,false
714,私,わたし,N5,word,,I; me,騒がしいホームで誰かが私の名前を呼んでいるのが聞こえた。,I could hear someone calling my name on the noisy platform.,2,6,false
715,私,わたし,N5,word,,I; me,騒がしいホームで誰かが私の名前を呼んでいるのが聞こえた。,I could hear someone calling my name on the noisy platform.,2,6,false
716,渡す,わたす,N5,word,,to ferry across (e.g. a river); to carry across; to traverse,わたしを向こう側へわたしてください。,Please take me over to the other side.,7,6,false
717,渡る,わたる,N5,word,,to cross over; to go across; to extend,橋は安全です。車でわたれます。,The bridge is safe; you can drive across.,7,6,false
718,悪い,わるい,N5,word,,bad; poor; undesirable,これは悪い話ではないでしょう？,"This isn't an unappealing proposition, is it?",7,5,false
